Time,Open,High,Low,Close,Volume
2015-06-21 00:00:00,1.13771,1.13854,1.13575,1.1376,17795
2015-06-22 00:00:00,1.13761,1.14102,1.12549,1.12602,188144
2015-06-23 00:00:00,1.12596,1.12833,1.11351,1.11859,204965
2015-06-24 00:00:00,1.11859,1.12347,1.11689,1.12154,189489
2015-06-25 00:00:00,1.12155,1.12276,1.11537,1.1188,161633
2015-06-26 00:00:00,1.11884,1.12197,1.11301,1.11625,149491
2015-06-28 00:00:00,1.10049,1.10325,1.09545,1.10114,44014
2015-06-29 00:00:00,1.10115,1.12783,1.09851,1.11852,229935
2015-06-30 00:00:00,1.11853,1.12435,1.11124,1.11351,202197
2015-07-01 00:00:00,1.11351,1.11713,1.10321,1.10713,193945
2015-07-02 00:00:00,1.10712,1.11214,1.1048,1.10924,172859
2015-07-03 00:00:00,1.10924,1.11177,1.1065,1.11092,113839
2015-07-05 00:00:00,1.09932,1.10566,1.0969,1.1042,39771
2015-07-06 00:00:00,1.10421,1.10954,1.10017,1.10328,181655
2015-07-07 00:00:00,1.10328,1.10517,1.09163,1.09844,239770
2015-07-08 00:00:00,1.09844,1.10927,1.09809,1.1073,223038
2015-07-09 00:00:00,1.1073,1.11249,1.09915,1.10955,193228
2015-07-10 00:00:00,1.10959,1.12157,1.10785,1.11519,177476
2015-07-12 00:00:00,1.10922,1.11443,1.10918,1.11293,23333
2015-07-13 00:00:00,1.11293,1.11968,1.0974,1.10052,212557
2015-07-14 00:00:00,1.10054,1.10832,1.09653,1.09967,193127
2015-07-15 00:00:00,1.09966,1.10355,1.09125,1.09322,195597
2015-07-16 00:00:00,1.09321,1.09482,1.08553,1.08946,191286
2015-07-17 00:00:00,1.08946,1.09069,1.08279,1.08279,149214
2015-07-19 00:00:00,1.08295,1.0844,1.08207,1.08239,18036
2015-07-20 00:00:00,1.08241,1.08702,1.08086,1.08331,156968
2015-07-21 00:00:00,1.08331,1.09685,1.08116,1.09258,211436
2015-07-22 00:00:00,1.09261,1.09666,1.08693,1.09481,189156
2015-07-23 00:00:00,1.09481,1.10179,1.09235,1.09734,192855
2015-07-24 00:00:00,1.09733,1.09957,1.09253,1.09812,128979
2015-07-26 00:00:00,1.09813,1.10097,1.09689,1.10095,18909
2015-07-27 00:00:00,1.10093,1.11292,1.09983,1.10826,189269
2015-07-28 00:00:00,1.10826,1.10847,1.10221,1.10817,160297
2015-07-29 00:00:00,1.10818,1.10828,1.09592,1.09752,182886
2015-07-30 00:00:00,1.09753,1.09847,1.08933,1.09424,172924
2015-07-31 00:00:00,1.09424,1.1114,1.09211,1.09841,170475
2015-08-02 00:00:00,1.09705,1.09846,1.09652,1.09737,16687
2015-08-03 00:00:00,1.09739,1.09957,1.09324,1.09473,149969
2015-08-04 00:00:00,1.09472,1.09875,1.08482,1.08607,180793
2015-08-05 00:00:00,1.08607,1.09342,1.08481,1.09062,194521
2015-08-06 00:00:00,1.09063,1.09439,1.08737,1.09216,154208
